"","Site","Topography","Treatment","ID.CIRAD","DBH.2015","Family","Genus","Specie","DBH.03_06_2020","DBH.2020","dif","pond","nfix","year_pond"
"1335","Paracou","T","P","PAR_T3-98",38.1971863420549,"Clusiaceae","Moronobea","coccinea","38.39",38.39,0.192813657945116,0.0050478497609346,0,0.00100956995218692
"1336","Paracou","T","P","PAR_T3-99",13.5281701628111,"Lecythidaceae","Gustavia",NA,"14.06",14.06,0.531829837188896,0.0393127696346469,0,0.00786255392692937
"1337","Paracou","T","P","PAR_T3-100",14.0056349920868,"Anacardiaceae","Tapirira",NA,"14.72",14.72,0.71436500791321,0.0510055422918581,0,0.0102011084583716
"1338","Paracou","T","P","PAR_T3-101",25.4647908947033,"Apocynaceae",NA,NA,"26.61",26.61,1.14520910529674,0.0449722564003049,1,0.00899445128006097
"1339","Paracou","T","P","PAR_T3-102",10.5042262440651,"Combretaceae",NA,NA,"10.79",10.79,0.285773755934907,0.0272055979464808,1,0.00544111958929615
"1340","Paracou","T","P","PAR_T3-103",19.8943678864869,"Fabaceae","Eperua","falcata","20.309999999999999",20.31,0.41563211351308,0.0208919487105391,1,0.00417838974210781
"1342","Paracou","T","P","PAR_T3-105",11.3000009595246,"Lecythidaceae","Lecythis",NA,"11.81",11.81,0.509999040475432,0.0451326546167735,0,0.0090265309233547
"1343","Paracou","T","P","PAR_T3-106",12.4140855611678,"Chrysobalanaceae","Licania","heteromorpha","12.8",12.8,0.385914438832165,0.0310868196397271,0,0.00621736392794542
"1344","Paracou","T","P","PAR_T3-107",20.0535228295788,"Lecythidaceae","Lecythis",NA,"21.42",21.42,1.36647717042119,0.0681415022205297,0,0.0136283004441059
"1345","Paracou","T","P","PAR_T3-108",26.4197205532546,"Lecythidaceae","Eschweilera",NA,"28.34",28.34,1.92027944674537,0.0726835638883703,0,0.0145367127776741
"1369","Paracou","T","P","PAR_T3-132",42.1760599193523,"Lecythidaceae","Eschweilera",NA,"43.06",43.06,0.88394008064774,0.0209583370835963,0,0.00419166741671926
"1371","Paracou","T","P","PAR_T3-134",18.302818455568,"Arecaceae","Oenocarpus","Bataua","19.489999999999998",19.49,1.18718154443203,0.064863318582001,0,0.0129726637164002
"1373","Paracou","T","P","PAR_T3-136",54.1126806512444,"Fabaceae","Eperua","falcata","56.37",56.37,2.25731934875558,0.0417151640168037,1,0.00834303280336074
"1375","Paracou","T","P","PAR_T3-138",11.7774657888003,"Myristicaceae","Iryanthera","hostmannii","12",12,0.222534211199745,0.0188949146777708,0,0.00377898293555416
"1408","Paracou","T","P","PAR_T3-171",46.7915532690172,"Lecythidaceae","Eschweilera",NA,"47.68",47.68,0.888446730982771,0.0189873314500772,0,0.00379746629001543
"1414","Paracou","T","P","PAR_T3-177",41.3802852038928,"Lecythidaceae","Eschweilera",NA,"42.35",42.35,0.969714796107212,0.0234342221502134,0,0.00468684443004268
"1463","Paracou","T","C","PAR_T4-2759",11.1408460164327,"Chrysobalanaceae","Licania","micrantha","11.33",11.33,0.189153983567326,0.0169784218620673,0,0.00339568437241347
"1521","Nouragues","B","N","NOU-B1-5",25.65,"Fabaceae","Vouacapoua","americana","28.849999999999998",28.85,3.2,0.124756335282651,1,0.0311890838206628
"1522","Nouragues","B","N","NOU-B1-15",22.2,"Chrysobalanaceae","Licania",NA,"25.22",25.22,3.02,0.136036036036036,0,0.034009009009009
"1524","Nouragues","B","N","NOU-B1-20",18.7,"Fabaceae","Eperua","falcata","19.8",19.8,1.1,0.0588235294117648,1,0.0147058823529412
"1526","Nouragues","B","N","NOU-B1-48",21,"Fabaceae","Dicorynia","guianensis","22.93",22.93,1.93,0.0919047619047619,1,0.0229761904761905
"1527","Nouragues","B","N","NOU-B1-50",15.2,"Lecythidaceae","Eschweilera","coriacea","15.84",15.84,0.640000000000001,0.0421052631578948,0,0.0105263157894737
"1529","Nouragues","B","N","NOU-B1-53",3.35,"Lecythidaceae","Eschweilera",NA,"3.56",3.56,0.21,0.0626865671641791,0,0.0156716417910448
"1530","Nouragues","B","N","NOU-B1-59",20.35,"Fabaceae","Eperua","falcata","21.07",21.07,0.719999999999999,0.0353808353808353,1,0.00884520884520883
"1531","Nouragues","B","N","NOU-B1-60",12.8,"Lecythidaceae","Eschweilera",NA,"12.9",12.9,0.0999999999999996,0.00781249999999997,0,0.00195312499999999
"1532","Nouragues","B","N","NOU-B1-66",14.35,"Lecythidaceae","Lecythis","poiteaui","15.65",15.65,1.3,0.0905923344947736,0,0.0226480836236934
"1533","Nouragues","B","N","NOU-B1-67",13.4,"Chrysobalanaceae","Licania","alba","14.88",14.88,1.48,0.11044776119403,0,0.0276119402985075
"1534","Nouragues","B","N","NOU-B1-73",7.1,"Chrysobalanaceae","Licania","alba","8.98",8.98,1.88,0.264788732394366,0,0.0661971830985916
"1535","Nouragues","B","N","NOU-B1-74",9.35,"Lecythidaceae","Lecythis",NA,"10.65",10.65,1.3,0.13903743315508,0,0.0347593582887701
"1536","Nouragues","B","N","NOU-B1-75",5.3,"Lecythidaceae","Eschweilera",NA,"5.3",5.3,0,0,0,0
"1537","Nouragues","B","N","NOU-B1-76",3.15,"Lecythidaceae","Eschweilera","coriacea","3.15",3.15,0,0,0,0
