"","site","topography","plot","year","season","samplingPoint","tree","canopyPosition","treatment","number","CodiSAQ","Codesamples","tissue","height","family","genus","specie","d13C","d15N","C","N","CN","CP","NP","P","K","Na","Mg","Ca","Fe","Mn","Ni","Cu","Sr","Nfix","sp"
"84","Paracou","Slope","2","2019","Dry",NA,"56","Down","NP",NA,NA,"1014-19DPS2-56D-E","leaf",NA,"Fabaceae","Vouacapoua","americana",-30.96,2.992,50.052,3.354,14.923,205.551,13.774,0.244,1.112,NA,0.118,0.177,49.267,52.553,0.739,11.696,16.417,1,"Vouacapoua_americana"
"85","Paracou","Slope","2","2019","Wet",NA,"56","Top","NP",NA,NA,"533-19WPS2-56T-E","leaf",NA,"Fabaceae","Vouacapoua","americana",-34.596,2.27,54.182,2.696,20.099,366.217,18.221,0.148,0.599,1747.219,0.181,0.194,169.356,94.098,1.288,10.598,29.777,1,"Vouacapoua_americana"
"86","Paracou","Slope","2","2019","Wet",NA,"56","Down","NP",NA,NA,"534-19WPS2-56D-E","leaf",NA,"Fabaceae","Vouacapoua","americana",-33.067,2.105,53.962,2.289,23.576,407.948,17.303,0.132,0.706,1083.236,0.134,0.186,301.721,102.153,1.871,8.827,23.948,1,"Vouacapoua_americana"
"87","Paracou","Bottom","3","2019","Dry",NA,"56","Top","P",NA,NA,"1063-19DPB3-56T-E","leaf",NA,"Lecythidaceae","Eschweilera",NA,-34.256,0.388,49.058,1.409,34.806,525.577,15.1,0.093,0.568,283.705,0.136,0.577,54.732,289.384,0.472,11.011,217.461,0,"Eschweilera_NA"
"88","Paracou","Bottom","3","2019","Dry",NA,"56","Down","P",NA,NA,"1064-19DPB3-56D-E","leaf",NA,"Lecythidaceae","Eschweilera",NA,-34.507,0.553,48.111,1.191,40.408,508.617,12.587,0.095,0.822,352.364,0.159,0.395,53.37,162.776,0.608,10.712,107.025,0,"Eschweilera_NA"
"89","Paracou","Bottom","3","2019","Wet",NA,"56","Top","P",NA,NA,"583-19WPB3-56T-E","leaf",NA,"Lecythidaceae","Eschweilera",NA,-34.597,0.546,47.792,1.35,35.41,903.719,25.521,0.053,0.407,1673.798,0.256,0.909,229.019,415.329,0.517,11.51,230.302,0,"Eschweilera_NA"
"90","Paracou","Bottom","3","2019","Wet",NA,"56","Down","P",NA,NA,"584-19WPB3-56D-E","leaf",NA,"Lecythidaceae","Eschweilera",NA,-34.684,0.532,46.964,1.334,35.204,835.418,23.731,0.056,0.408,1886.873,0.244,0.908,241.56,339.267,0.488,11.072,205.9,0,"Eschweilera_NA"
"91","Paracou","Top","2","2019","Wet",NA,"58","Top","NP",NA,NA,"491-19WPT2-58T-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-26.061,1.434,51.049,2.099,24.324,236.348,9.717,0.216,1.693,253.504,0.323,0.311,118.651,58.206,1.894,15.316,41.787,0,"Sterculia_pruriens"
"92","Paracou","Top","2","2019","Wet",NA,"58","Down","NP",NA,NA,"492-19WPT2-58D-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-30.45,1.278,50.245,2.33,21.56,221.049,10.253,0.227,1.951,206.726,0.335,0.305,99.238,57.518,1.582,16.882,37.754,0,"Sterculia_pruriens"
"93","Paracou","Top","2","2019","Dry",NA,"58","Top","NP",NA,NA,"971-19DPT2-58T-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-30.132,0.794,49.97,1.817,27.501,598.668,21.769,0.083,0.921,314.929,0.313,0.749,80.671,121.278,1.339,8.894,102.142,0,"Sterculia_pruriens"
"94","Paracou","Top","2","2019","Dry",NA,"58","Down","NP",NA,NA,"972-19DPT2-58D-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-32.155,0.784,49.351,1.751,28.178,586.991,20.831,0.084,1.173,424.971,0.318,0.779,57.4,152.067,1.038,10.212,106.547,0,"Sterculia_pruriens"
"95","Nouragues","Slope","3","2019","Dry",NA,"58","Top","P",NA,NA,"1137-19DNS3-58T-E","leaf",NA,"Myrtaceae","Eugenia","culcullata",-31.783,1.368,47.96,1.007,47.612,1465.317,30.776,0.033,0.445,728.878,0.248,2.092,54.874,21.744,0.596,4.919,85.461,0,"Eugenia_culcullata"
"96","Nouragues","Slope","3","2019","Dry",NA,"58","Down","P",NA,NA,"1138-19DNS3-58D-E","leaf",NA,"Myrtaceae","Eugenia","culcullata",-32.888,2.451,46.259,1.072,43.154,944.236,21.881,0.049,0.444,883.023,0.357,2.529,51.472,20.836,0.53,6.714,112.439,0,"Eugenia_culcullata"
"97","Nouragues","Slope","3","2019","Wet",NA,"58","Top","P",NA,NA,"657-19WNS3-58T-E","leaf",NA,"Myrtaceae","Eugenia","culcullata",-33.002,0.756,51.35,0.868,59.167,762.252,12.883,0.067,1.024,NA,0.149,1.005,46.385,12.187,0.393,7.632,42.82,0,"Eugenia_culcullata"
"98","Nouragues","Slope","3","2019","Wet",NA,"58","Down","P",NA,NA,"658-19WNS3-58D-E","leaf",NA,"Myrtaceae","Eugenia","culcullata",-33.356,2.321,49.434,1.018,48.545,1169.604,24.093,0.042,0.432,1358.004,0.355,1.839,92.925,32.75,0.757,6.89,83.667,0,"Eugenia_culcullata"
"99","Nouragues","Slope","2","2019","Dry",NA,"59","Top","NP",NA,NA,"1127-19DNS2-59T-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-32.665,0.643,49.125,1.576,31.175,528.804,16.962,0.093,1.159,NA,0.268,0.856,37.241,361.555,0.678,11.923,128.601,0,"Sterculia_speciosa"
"100","Nouragues","Slope","2","2019","Dry",NA,"59","Down","NP",NA,NA,"1128-19DNS2-59D-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-31.4,0.44,48.547,1.789,27.142,290.713,10.711,0.167,1.505,NA,0.26,0.537,123.546,123.359,0.634,14.685,60.573,0,"Sterculia_speciosa"
"101","Nouragues","Slope","2","2019","Wet",NA,"59","Top","NP",NA,NA,"647-19WNS2-59T-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-33.755,-0.26,51.906,1.424,36.443,646.302,17.735,0.08,0.706,1201.491,0.327,1.219,113.874,497.7,1.024,6.858,187.119,0,"Sterculia_speciosa"
"102","Nouragues","Slope","2","2019","Wet",NA,"59","Down","NP",NA,NA,"648-19WNS2-59D-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-33.238,-0.497,49.713,1.55,32.076,700.892,21.851,0.071,0.63,249.656,0.286,1.57,97.102,767.166,0.852,4.821,272.984,0,"Sterculia_speciosa"
"103","Nouragues","Top","2","2019","Dry",NA,"59","Top","NP",NA,NA,"1099-19DNT3_59T-E","leaf",NA,"Clusiaceae","Tovomita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Tovomita_NA"
"104","Paracou","Bottom","3","2019","Dry",NA,"59","Top","P",NA,NA,"1065-19DPB3-59T-E","leaf",NA,"Clusiaceae","Tovomita",NA,-34.465,1.588,47.806,1.168,40.924,1012.283,24.736,0.047,0.416,1539.204,0.496,1.453,132.06,147.442,0.321,3.444,206.242,0,"Tovomita_NA"
"105","Paracou","Bottom","3","2019","Dry",NA,"59","Down","P",NA,NA,"1066-19DPB3-59D-E","leaf",NA,"Clusiaceae","Tovomita",NA,-35.262,1.993,47.294,1.142,41.414,892.978,21.562,0.053,0.869,1198.184,0.4,1.174,89.852,101.62,0.259,4.245,164.543,0,"Tovomita_NA"
"106","Paracou","Bottom","3","2019","Wet",NA,"59","Top","P",NA,NA,"585-19WPB3-59T-E","leaf",NA,"Clusiaceae","Tovomita",NA,-33.122,1.704,47.654,1.411,33.766,885.539,26.226,0.054,0.261,1106.353,0.495,1.536,249.19,223.604,0.514,3.744,207.656,0,"Tovomita_NA"
"107","Paracou","Bottom","3","2019","Wet",NA,"59","Down","P",NA,NA,"586-19WPB3-59D-E","leaf",NA,"Clusiaceae","Tovomita",NA,-34.678,1.739,45.68,1.357,33.654,730.284,21.7,0.063,1.166,941.228,0.484,1.276,158.347,126.155,0.761,6.222,164.29,0,"Tovomita_NA"
"108","Nouragues","Top","3","2019","Dry",NA,"59","Down","P",NA,NA,"1100-19DNT3-59D-E","leaf",NA,"Caryocaraceae","Caryocar","glabrum",-32.322,0.469,52.258,1.142,45.758,1080.225,23.607,0.048,0.446,645.777,0.247,0.563,76.846,76.758,2.206,4.096,34.29,0,"Caryocar_glabrum"
"109","Nouragues","Top","3","2019","Wet",NA,"59","Top","P",NA,NA,"619-19WNT3-59T-E","leaf",NA,"Caryocaraceae","Caryocar","glabrum",-32.103,0.626,51.11,1.32,38.731,811.861,20.961,0.063,0.569,453.061,0.272,0.464,126.865,72.726,1.846,3.819,27.649,0,"Caryocar_glabrum"
"110","Nouragues","Top","3","2019","Wet",NA,"59","Down","P",NA,NA,"620-19WNT3-59D-E","leaf",NA,"Caryocaraceae","Caryocar","glabrum",-32.482,0.72,52.448,1.387,37.803,788.022,20.846,0.067,0.704,521.124,0.253,0.454,136.704,56.497,2.237,4.194,26.468,0,"Caryocar_glabrum"
"111","Nouragues","Slope","2","2019","Dry",NA,"60","Top","NP",NA,NA,"1129-19DNS2-60T-E","leaf",NA,"Rubiaceae","Ferdinandusa","paraensis",-34.332,2.796,47.634,1.528,31.176,920.236,29.518,0.052,0.311,1310.832,0.363,0.908,128.425,161.647,0.707,6.935,121.48,0,"Ferdinandusa_paraensis"
"112","Nouragues","Slope","2","2019","Dry",NA,"60","Down","NP",NA,NA,"1130-19DNS2-60D-E","leaf",NA,"Rubiaceae","Ferdinandusa","paraensis",-34.65,2.11,46.936,1.525,30.77,884.019,28.73,0.053,0.619,1793.408,0.304,0.756,63.894,56.598,0.788,6.302,97.4,0,"Ferdinandusa_paraensis"
"113","Nouragues","Slope","2","2019","Wet",NA,"60","Top","NP",NA,NA,"649-19WNS2-60T-E","leaf",NA,"Rubiaceae","Ferdinandusa","paraensis",-35.177,2.187,48.497,1.576,30.763,868.133,28.22,0.056,0.833,1337.017,0.412,0.88,197.597,98.122,1.335,7.491,132.963,0,"Ferdinandusa_paraensis"
"114","Nouragues","Slope","2","2019","Wet",NA,"60","Down","NP",NA,NA,"650-19WNS2-60D-E","leaf",NA,"Rubiaceae","Ferdinandusa","paraensis",-35.027,2.42,47.716,1.441,33.122,956.759,28.886,0.05,0.601,1883.224,0.316,0.924,235.132,63.229,2.958,7.506,108.916,0,"Ferdinandusa_paraensis"
"115","Paracou","Top","2","2019","Wet",NA,"60","Top","NP",NA,NA,"493-19WPT2-60T-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-31.849,2.033,52.865,1.451,36.423,576.902,15.839,0.092,0.784,3905.323,0.14,0.117,39.642,63.972,0.687,6.514,7.321,1,"Eperua_grandiflora"
"116","Paracou","Top","2","2019","Wet",NA,"60","Down","NP",NA,NA,"494-19WPT2-60D-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-32.493,0.271,52.394,1.389,37.711,1041.004,27.605,0.05,0.459,2096.925,0.177,0.642,84.481,167.391,1.14,3.5,66.026,1,"Eperua_grandiflora"
"117","Paracou","Top","2","2019","Dry",NA,"60","Top","NP",NA,NA,"973-19DPT2-60T-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-33.132,1.606,51.872,1.592,32.576,861.002,26.431,0.06,0.498,2764.865,0.149,0.352,66.938,151.709,0.526,4.016,29.094,1,"Eperua_grandiflora"
"118","Paracou","Top","2","2019","Dry",NA,"60","Down","NP",NA,NA,"974-19DPT2-60D-E","leaf",NA,"Fabaceae","Eperua","grandiflora",-33.511,1.266,50.672,1.498,33.835,826.62,24.431,0.061,0.564,3308.39,0.125,0.366,58.384,116.576,0.647,4.183,35.883,1,"Eperua_grandiflora"
"119","Nouragues","Top","3","2019","Dry",NA,"60","Top","P",NA,NA,"1101-19DNT3-60T-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-34.931,2.55,50.368,1.306,38.556,1223.21,31.725,0.041,0.279,2336.462,0.212,0.226,76.873,48.775,10.435,5.006,18.782,0,"Hirtella_bicornis"
"120","Nouragues","Top","3","2019","Dry",NA,"60","Down","P",NA,NA,"1102-19DNT3-60D-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-34.93,2.383,48.829,1.156,42.243,1156.912,27.387,0.042,0.704,3038.088,0.203,0.198,43.001,29.474,6.011,6.469,13.841,0,"Hirtella_bicornis"
"121","Nouragues","Top","3","2019","Wet",NA,"60","Top","P",NA,NA,"621-19WNT3-60T-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-35.327,1.938,51.011,1.357,37.582,1257.476,33.46,0.041,0.191,2267.213,0.244,0.264,266.523,59.154,12.678,6.354,19.304,0,"Hirtella_bicornis"
"122","Nouragues","Top","3","2019","Wet",NA,"60","Down","P",NA,NA,"622-19WNT3-60D-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-35.018,1.998,49.623,1.077,46.091,917.387,19.904,0.054,0.582,2777.338,0.232,0.176,451.958,39.789,7.875,7.534,12.88,0,"Hirtella_bicornis"
"123","Paracou","Slope","1","2019","Dry",NA,"61","Top","N",NA,NA,"1001-19DPS1-61T-E","leaf",NA,"Goupiaceae","Goupia","glabra",-31.395,0.503,50.485,1.769,28.541,966.519,33.864,0.052,0.673,2990.222,0.223,0.275,76.564,70.817,1.278,9.9,23.44,0,"Goupia_glabra"
"124","Paracou","Slope","1","2019","Dry",NA,"61","Down","N",NA,NA,"1002-19DPS1-61D-E","leaf",NA,"Goupiaceae","Goupia","glabra",-31.045,1.166,49.843,2.039,24.442,770.638,31.529,0.065,0.829,3109.029,0.298,0.212,123.663,36.525,1.886,8.264,18.849,0,"Goupia_glabra"
"125","Paracou","Slope","1","2019","Wet",NA,"61","Top","N",NA,NA,"521-19WPS1-61T-E","leaf",NA,"Goupiaceae","Goupia","glabra",-31.497,0.742,52.44,1.694,30.955,833.162,26.915,0.063,0.855,3752.258,0.162,0.125,187.651,27.192,1.014,9.23,9.154,0,"Goupia_glabra"
"126","Paracou","Slope","1","2019","Wet",NA,"61","Down","N",NA,NA,"522-19WPS1-61D-E","leaf",NA,"Goupiaceae","Goupia","glabra",-31.846,1.48,52.701,2.028,25.983,647.212,24.909,0.081,1.062,4155.303,0.198,0.134,116.41,29.887,1.589,7.772,9.18,0,"Goupia_glabra"
"127","Paracou","Bottom","3","2019","Dry",NA,"61","Top","P",NA,NA,"1067-19DPB3-61T-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-32.437,1.096,47.879,1.009,47.467,1259.975,26.544,0.038,0.408,1661.221,0.21,0.355,98.733,45.23,1.461,2.648,42.78,0,"Licania_alba"
"128","Paracou","Bottom","3","2019","Dry",NA,"61","Down","P",NA,NA,"1068-19DPB3-61D-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-33.752,0.676,46.617,0.981,47.506,1511.778,31.823,0.031,0.228,2383.645,0.229,0.36,196.081,45.356,1.453,2.44,47.447,0,"Licania_alba"
"129","Paracou","Bottom","3","2019","Wet",NA,"61","Top","P",NA,NA,"587-19WPB3-61T-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-32.076,1.109,46.097,1.008,45.71,1427.63,31.233,0.032,0.386,2257.682,0.246,0.37,176.28,46.948,1.92,2.766,50.641,0,"Licania_alba"
"130","Paracou","Bottom","3","2019","Wet",NA,"61","Down","P",NA,NA,"588-19WPB3-61D-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-33.699,1.68,46.09,1.234,37.336,1152.656,30.872,0.04,0.471,2810.095,0.285,0.322,237.889,35.074,1.358,3.882,39.688,0,"Licania_alba"
"131","Paracou","Bottom","1","2019","Dry",NA,"62","Top","N",NA,NA,"1043-19DPB1-62T-E","leaf",NA,"Clusiaceae","Tovomita",NA,-33.534,3.174,47.569,1.548,30.737,859.38,27.959,0.055,0.903,1421.66,0.416,1.171,97.71,108.622,0.377,5.909,151.178,0,"Tovomita_NA"
"132","Paracou","Bottom","1","2019","Dry",NA,"62","Down","N",NA,NA,"1044-19DPB1-62D-E","leaf",NA,"Clusiaceae","Tovomita",NA,-33.583,3.24,46.852,1.486,31.52,757.137,24.021,0.062,1.297,846.082,0.354,0.834,59.478,55.558,0.583,6.228,123.185,0,"Tovomita_NA"
"133","Paracou","Bottom","1","2019","Wet",NA,"62","Top","N",NA,NA,"563-19WPB1-62T-E","leaf",NA,"Clusiaceae","Tovomita",NA,NA,NA,NA,NA,NA,0,0,0.061,1.147,842.141,0.376,1.009,180.742,70.081,0.604,7.14,125.837,0,"Tovomita_NA"
"134","Paracou","Bottom","1","2019","Wet",NA,"62","Down","N",NA,NA,"564-19WPB1-62D-E","leaf",NA,"Clusiaceae","Tovomita",NA,-34.564,2.441,49.734,1.7,29.261,955.504,32.655,0.052,0.475,2401.642,0.379,1.225,278.853,98.294,0.611,4.79,184.296,0,"Tovomita_NA"
"135","Paracou","Bottom","1","2019","Dry",NA,"64","Top","N",NA,NA,"1045-19DPB1-64T-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-28.725,-0.765,50.448,1.543,32.691,479.413,14.665,0.105,1.215,NA,0.274,0.571,30.447,77.355,0.275,9.623,78.016,0,"Sterculia_pruriens"
"136","Paracou","Bottom","1","2019","Dry",NA,"64","Down","N",NA,NA,"1046-19DPB1-64D-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-29.634,-0.958,50.203,1.756,28.592,423.658,14.817,0.118,1.348,NA,0.291,0.499,33.015,63.795,0.397,12.624,66.133,0,"Sterculia_pruriens"
"137","Paracou","Bottom","1","2019","Wet",NA,"64","Top","N",NA,NA,"565-19WPB1-64T-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-30.149,-1.464,53.156,1.589,33.454,854.074,25.529,0.062,0.411,321.563,0.238,1.45,224.311,279.648,0.492,4.532,228.962,0,"Sterculia_pruriens"
"138","Paracou","Bottom","1","2019","Wet",NA,"64","Down","N",NA,NA,"566-19WPB1-64D-E","leaf",NA,"Malvaceae","Sterculia","pruriens",-31.127,-1.363,51.558,1.517,33.982,874.149,25.724,0.059,0.564,469.277,0.37,1.399,152.384,220.545,0.568,6.141,194.129,0,"Sterculia_pruriens"
"139","Paracou","Slope","1","2019","Dry",NA,"64","Top","N",NA,NA,"1003-19DPS1-64T-E","leaf",NA,"Lecythidaceae","Eschweilera","sagotiana",-34.405,2.804,50.266,1.768,28.438,799.277,28.106,0.063,0.363,3875.359,0.313,0.214,102.708,42.989,0.566,2.621,48.867,0,"Eschweilera_sagotiana"
"140","Paracou","Slope","1","2019","Dry",NA,"64","Down","N",NA,NA,"1004-19DPS1-64D-E","leaf",NA,"Lecythidaceae","Eschweilera","sagotiana",-34.723,2.371,49.823,1.831,27.211,975.874,35.863,0.051,0.306,3710.132,0.378,0.268,165.315,61.661,0.542,1.948,53.055,0,"Eschweilera_sagotiana"
"141","Paracou","Slope","1","2019","Wet",NA,"64","Top","N",NA,NA,"523-19WPS1-64T-E","leaf",NA,"Lecythidaceae","Eschweilera","sagotiana",-32.709,2.68,53.711,1.656,32.429,834.435,25.731,0.064,0.371,4051.332,0.21,0.103,171.703,24.547,0.867,2.722,26.105,0,"Eschweilera_sagotiana"
"142","Paracou","Slope","1","2019","Wet",NA,"64","Down","N",NA,NA,"524-19WPS1-64D-E","leaf",NA,"Lecythidaceae","Eschweilera","sagotiana",-34.96,2.355,53.806,1.721,31.267,1277.859,40.869,0.042,0.164,3815.588,0.398,0.308,386.745,64.731,1.06,1.781,46.825,0,"Eschweilera_sagotiana"
"143","Nouragues","Slope","2","2019","Dry",NA,"64","Top","NP",NA,NA,"1131-19DNS2-64T-E","leaf",NA,"Lauraceae","Aniba","rosaeodora",-34.594,0.007,48.569,1.351,35.945,1179.774,32.821,0.041,0.822,2513.455,0.15,0.83,66.449,79.807,1.08,3.471,113.266,0,"Aniba_rosaeodora"
"144","Nouragues","Slope","2","2019","Dry",NA,"64","Down","NP",NA,NA,"1132-19DNS2-64D-E","leaf",NA,"Lauraceae","Aniba","rosaeodora",-35.647,0.267,48.773,1.272,38.358,1166.707,30.416,0.042,0.855,2001.955,0.132,0.775,43.879,55.895,1.164,3.642,102.357,0,"Aniba_rosaeodora"
"145","Nouragues","Slope","2","2019","Wet",NA,"64","Top","NP",NA,NA,"651-19WNS2-64T-E","leaf",NA,"Lauraceae","Aniba","rosaeodora",-36.526,1.708,51.104,1.246,41.015,820.035,19.993,0.062,1.266,1599.422,0.083,0.354,108.229,27.547,0.812,3.805,48.478,0,"Aniba_rosaeodora"
"146","Nouragues","Slope","2","2019","Wet",NA,"64","Down","NP",NA,NA,"652-19WNS2-64D-E","leaf",NA,"Lauraceae","Aniba","rosaeodora",-36.331,1.424,49.536,1.326,37.368,790,21.141,0.063,1.209,1773.412,0.08,0.356,77.015,28.785,0.635,4.174,48.41,0,"Aniba_rosaeodora"
"147","Paracou","Slope","1","2019","Dry",NA,"65","Top","N",NA,NA,"1005-19DPS1-65T-E","leaf",NA,"Chrysobalanaceae","Couepia","guianensis",-35.109,3.258,49.791,1.514,32.882,1251.462,38.059,0.04,0.287,3821.451,0.212,0.147,213.698,26.222,1.863,3.908,22.202,0,"Couepia_guianensis"
"148","Paracou","Slope","1","2019","Dry",NA,"65","Down","N",NA,NA,"1006-19DPS1-65D-E","leaf",NA,"Chrysobalanaceae","Couepia","guianensis",-34.89,3.212,48.406,1.601,30.225,1283.78,42.473,0.038,0.184,4117.955,0.27,0.199,177.701,42.021,1.729,3.526,31.073,0,"Couepia_guianensis"
"149","Paracou","Slope","1","2019","Wet",NA,"65","Top","N",NA,NA,"525-19WPS1-65T-E","leaf",NA,"Chrysobalanaceae","Couepia","guianensis",-34.769,3.618,52.649,1.562,33.701,1497.012,44.421,0.035,0.175,4217.092,0.23,0.148,598.329,37.058,2.861,3.989,24.89,0,"Couepia_guianensis"
"150","Paracou","Slope","1","2019","Wet",NA,"65","Down","N",NA,NA,"526-19WPS1-65D-E","leaf",NA,"Chrysobalanaceae","Couepia","guianensis",-34.408,3.11,52.772,1.453,36.319,1370.596,37.738,0.039,0.335,4803.755,0.169,0.095,407.948,18.426,2.526,4.155,13.519,0,"Couepia_guianensis"
"151","Nouragues","Slope","2","2019","Dry",NA,"65","Top","NP",NA,NA,"1133-19DNS2-65T-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-30.845,0.983,49.231,1.463,33.649,769.946,22.882,0.064,0.59,NA,0.198,1.11,39.944,424.497,0.518,5.486,145.252,0,"Sterculia_speciosa"
"152","Nouragues","Slope","2","2019","Dry",NA,"65","Down","NP",NA,NA,"1134-19DNS2-65D-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-31.281,0.685,48.824,1.654,29.522,725.292,24.568,0.067,0.832,NA,0.199,1.093,50.529,380.98,0.689,6.524,129.036,0,"Sterculia_speciosa"
"153","Nouragues","Slope","2","2019","Wet",NA,"65","Top","NP",NA,NA,"653-19WNS2-65T-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-30.386,1.768,50.772,1.432,35.444,556.997,15.715,0.091,1.044,NA,0.163,0.366,37.469,98.135,0.458,8.335,42.648,0,"Sterculia_speciosa"
"154","Nouragues","Slope","2","2019","Wet",NA,"65","Down","NP",NA,NA,"654-19WNS2-65D-E","leaf",NA,"Malvaceae","Sterculia","speciosa",-30.826,1.514,49.916,1.46,34.18,477.287,13.964,0.105,1.636,NA,0.189,0.332,83.144,138.422,0.674,8.85,41.303,0,"Sterculia_speciosa"
"155","Paracou","Bottom","1","2019","Dry",NA,"66","Top","N",NA,NA,"1047-19DPB1-66T-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.282,2.188,50.016,2.046,24.443,424.098,17.351,0.118,1.15,218.27,0.183,0.439,57.039,61.03,1.199,9.068,55.236,1,"Eperua_falcata"
"156","Paracou","Bottom","1","2019","Dry",NA,"66","Down","N",NA,NA,"1048-19DPB1-66D-E","leaf",NA,"Fabaceae","Eperua","falcata",-31.23,1.005,49.495,2.017,24.533,622.913,25.391,0.079,0.736,1656.591,0.348,0.971,89.743,291.832,0.395,7.099,125.852,1,"Eperua_falcata"
"157","Paracou","Bottom","1","2019","Wet",NA,"66","Top","N",NA,NA,"567-19WPB1-66T-E","leaf",NA,"Fabaceae","Eperua","falcata",-33.297,1.426,52.08,1.666,31.263,950.858,30.415,0.055,0.263,1397.388,0.282,0.734,255.473,208.499,0.871,6.983,99.626,1,"Eperua_falcata"
"158","Paracou","Bottom","1","2019","Wet",NA,"66","Down","N",NA,NA,"568-19WPB1-66D-E","leaf",NA,"Fabaceae","Eperua","falcata",-32.159,1.403,51.666,1.93,26.774,694.46,25.938,0.074,0.511,2553.094,0.253,0.642,267.253,128.771,0.724,8.411,85.205,1,"Eperua_falcata"
"159","Nouragues","Slope","2","2019","Dry",NA,"66","Top","NP",NA,NA,"1135-19DNS2-66T-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-35.804,2.701,47.342,1.387,34.139,873.485,25.586,0.054,0.68,892.086,0.257,0.285,63.605,50.368,2.92,6.226,32.354,0,"Hirtella_bicornis"
"160","Nouragues","Slope","2","2019","Dry",NA,"66","Down","NP",NA,NA,"1136-19DNS2-66D-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-35.93,2.112,46.673,1.348,34.612,1218.846,35.215,0.038,0.535,1668.815,0.306,0.285,72.925,62.35,3.201,5.43,36.87,0,"Hirtella_bicornis"
"161","Nouragues","Slope","2","2019","Wet",NA,"66","Top","NP",NA,NA,"655-19WNS2-66T-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-35.661,2.707,49.328,1.272,38.768,830.193,21.414,0.059,0.62,864.449,0.291,0.257,356.442,63.221,3.44,7.151,29.473,0,"Hirtella_bicornis"
"162","Nouragues","Slope","2","2019","Wet",NA,"66","Down","NP",NA,NA,"656-19WNS2-66D-E","leaf",NA,"Chrysobalanaceae","Hirtella","bicornis",-36.965,2.921,49.166,1.32,37.257,1219.579,32.734,0.04,0.681,1450.889,0.257,0.252,104.781,51.296,2.631,6.705,31.067,0,"Hirtella_bicornis"
"163","Nouragues","Slope","4","2019","Dry",NA,"70","Top","C",NA,NA,"1147-19DNS4-70T-E","leaf",NA,"Rubiaceae","Capirona","decorticans",-32.849,2.963,43.885,3.06,14.339,573.467,39.993,0.077,2.18,275.213,0.297,0.584,43.472,68.265,0.48,12.431,51.294,0,"Capirona_decorticans"
"164","Nouragues","Slope","4","2019","Dry",NA,"70","Down","C",NA,NA,"1148-19DNS4-70D-E","leaf",NA,"Rubiaceae","Capirona","decorticans",-33.349,2.088,44.246,3.156,14.02,705.825,50.344,0.063,2.194,464.608,0.37,1.126,82.623,97.097,0.654,10.664,122.217,0,"Capirona_decorticans"
"165","Nouragues","Slope","4","2019","Wet",NA,"70","Top","C",NA,NA,"667-19WNS4-70T-E","leaf",NA,"Rubiaceae","Capirona","decorticans",-33.224,2.177,45.309,2.811,16.12,700.281,43.441,0.065,1.881,1697.859,0.295,0.614,146.555,62.106,0.839,13.559,62.219,0,"Capirona_decorticans"
"166","Nouragues","Slope","4","2019","Wet",NA,"70","Down","C",NA,NA,"668-19WNS4-70D-E","leaf",NA,"Rubiaceae","Capirona","decorticans",-33.739,1.789,44.76,2.879,15.546,788.291,50.706,0.057,1.988,1056.205,0.357,0.932,91.68,79.786,0.577,9.898,102,0,"Capirona_decorticans"
"167","Nouragues","Slope","3","2019","Dry",NA,"71","Top","P",NA,NA,"1139-19DNS3-71T-E","leaf",NA,"Sapotaceae","Pouteria","retinervis",-30.743,1.855,45.312,2.387,18.983,295.638,15.574,0.153,1.058,590.022,0.184,0.76,36.083,351.273,1.571,6.046,55.635,0,"Pouteria_retinervis"
